epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.03832,1.98027,3.69406,1.58407,0.00328,0.98333,0.74534,0.39167,1.41851,2.95391,1.23096,0.0003,0.0003,0.0003
2,5.43983,1.38852,2.17203,1.05399,0.00317,0.95,0.80992,0.40766,1.56422,2.851,1.2194,0.000613862,0.000613862,0.000613862
3,7.81035,1.35302,1.78626,1.06187,0.73341,0.58333,0.79023,0.43079,1.30868,2.49195,1.09502,0.000921388,0.000921388,0.000921388
4,10.1834,1.33729,1.62581,1.09503,0.7269,0.88333,0.85528,0.46056,1.22121,2.34997,1.12382,0.00122258,0.00122258,0.00122258
5,12.458,1.31703,1.60271,1.11623,0.86613,0.75489,0.87212,0.46202,1.33622,2.34796,1.20048,0.00151743,0.00151743,0.00151743
6,14.9067,1.27169,1.39391,1.09596,0.74878,0.95,0.81004,0.49937,1.2227,1.81932,1.23744,0.00180595,0.00180595,0.00180595
7,17.5285,1.3023,1.32914,1.08876,0.76078,0.96667,0.8689,0.53371,1.18932,1.73147,1.06916,0.0018812,0.0018812,0.0018812
8,20.3269,1.348,1.26721,1.11852,0.1228,0.53333,0.11012,0.06838,1.265,5.83352,1.16684,0.0018614,0.0018614,0.0018614
9,22.7654,1.19611,1.18299,1.07305,0.91029,0.84569,0.93197,0.61111,1.17804,1.40553,1.03529,0.0018416,0.0018416,0.0018416
10,25.2243,1.22009,1.08611,1.06437,0.75234,0.66667,0.69653,0.37237,1.62411,1.55477,1.47631,0.0018218,0.0018218,0.0018218
11,27.797,1.29946,1.05061,1.09883,0.77032,0.73333,0.80055,0.49023,1.46511,1.41794,1.33286,0.001802,0.001802,0.001802
12,30.3134,1.23932,1.04393,1.09045,0.88773,0.98333,0.97038,0.60277,1.30547,1.1365,1.12327,0.0017822,0.0017822,0.0017822
13,32.6722,1.21482,0.99105,1.05871,0.89113,0.95498,0.97597,0.55952,1.19543,1.12623,1.05607,0.0017624,0.0017624,0.0017624
14,34.9887,1.26376,0.98072,1.09762,0.96583,0.94227,0.98817,0.60258,1.17824,1.19914,1.06742,0.0017426,0.0017426,0.0017426
15,37.3888,1.25421,0.94082,1.09632,0.94185,0.98333,0.96196,0.62451,1.19342,0.99951,1.05541,0.0017228,0.0017228,0.0017228
16,39.7773,1.23004,0.89501,1.08324,0.93325,0.95,0.98484,0.64519,1.14434,0.86665,1.086,0.001703,0.001703,0.001703
17,42.1516,1.17834,0.84445,1.05761,0.95773,0.96667,0.97929,0.67951,1.08772,0.77421,1.04354,0.0016832,0.0016832,0.0016832
18,44.5087,1.24104,0.84922,1.07106,0.95999,1,0.99339,0.71336,1.0113,0.79191,1.00734,0.0016634,0.0016634,0.0016634
19,46.9176,1.26139,0.84115,1.06481,0.89372,0.98108,0.97771,0.60715,1.20836,0.97078,1.07267,0.0016436,0.0016436,0.0016436
20,49.2747,1.22048,0.83939,1.09473,0.9497,1,0.99107,0.69562,1.02237,0.68442,1.0748,0.0016238,0.0016238,0.0016238
21,51.6519,1.22479,0.79103,1.10622,1,0.99727,0.995,0.6671,1.14122,0.70552,1.10512,0.001604,0.001604,0.001604
22,54.0279,1.12746,0.80453,1.07344,0.97704,1,0.98992,0.66385,1.04369,0.78241,0.99721,0.0015842,0.0015842,0.0015842
23,56.3279,1.09771,0.76042,1.0435,0.96712,0.98049,0.98914,0.66645,1.09438,0.66057,1.02688,0.0015644,0.0015644,0.0015644
24,58.647,1.15883,0.75333,1.05332,0.96691,0.97411,0.99152,0.65602,1.11058,0.73452,1.05698,0.0015446,0.0015446,0.0015446
25,60.9543,1.09682,0.72501,1.04284,0.99363,0.98333,0.99437,0.64558,1.13125,0.70043,1.00724,0.0015248,0.0015248,0.0015248
26,63.2467,1.07912,0.71561,1.02273,0.96768,0.99797,0.99403,0.70364,1.04202,0.6833,1.006,0.001505,0.001505,0.001505
27,65.5427,1.13545,0.73948,1.06727,0.96576,1,0.99403,0.6631,1.12412,0.65393,1.02485,0.0014852,0.0014852,0.0014852
28,67.8773,1.10215,0.68775,1.0409,0.9665,0.96164,0.99154,0.69818,1.01288,0.71117,1.03317,0.0014654,0.0014654,0.0014654
29,70.1843,1.11744,0.66614,1.06933,0.9849,1,0.995,0.75115,0.94898,0.64186,0.99991,0.0014456,0.0014456,0.0014456
30,72.5112,1.13568,0.7211,1.05353,0.99991,1,0.995,0.7132,1.06424,0.63645,1.04907,0.0014258,0.0014258,0.0014258
31,74.8027,1.09663,0.6722,1.03281,0.96773,0.99948,0.99434,0.72912,1.00928,0.61435,0.99844,0.001406,0.001406,0.001406
32,77.0854,1.11789,0.67873,1.04142,0.9835,0.99356,0.99451,0.70687,1.00679,0.70821,1.04007,0.0013862,0.0013862,0.0013862
33,79.341,1.11032,0.65691,1.07235,0.96652,1,0.99468,0.69281,1.05208,0.62848,1.04279,0.0013664,0.0013664,0.0013664
34,81.6087,1.12443,0.6788,1.07632,0.98607,0.98333,0.99484,0.69145,1.05668,0.66025,1.00836,0.0013466,0.0013466,0.0013466
35,83.8794,1.0866,0.68096,1.04868,0.99056,1,0.995,0.72083,1.04345,0.58886,1.00929,0.0013268,0.0013268,0.0013268
36,86.1661,1.07871,0.63675,1.05586,0.98343,0.98894,0.99484,0.71505,1.00854,0.56607,1.05795,0.001307,0.001307,0.001307
37,88.4888,1.10964,0.64588,1.04577,0.98349,1,0.995,0.64654,1.2341,0.61238,1.11561,0.0012872,0.0012872,0.0012872
38,90.8196,1.1006,0.63412,1.03695,0.98183,1,0.99484,0.69404,1.0591,0.58623,1.04498,0.0012674,0.0012674,0.0012674
39,93.05,1.11171,0.6487,1.03398,0.96238,1,0.99352,0.68629,1.0644,0.63875,1.03859,0.0012476,0.0012476,0.0012476
40,95.6256,1.05498,0.62575,1.03177,0.96705,1,0.99418,0.71855,1.02139,0.6127,1.03395,0.0012278,0.0012278,0.0012278
41,97.8278,1.02534,0.59667,1.02034,0.99352,1,0.995,0.71577,0.98766,0.52978,1.02012,0.001208,0.001208,0.001208
42,100.033,1.11227,0.64394,1.04282,0.9919,1,0.995,0.6786,1.07185,0.62984,1.02337,0.0011882,0.0011882,0.0011882
43,102.252,1.10086,0.63934,1.04237,0.99551,1,0.995,0.71742,1.00847,0.59297,1.02794,0.0011684,0.0011684,0.0011684
44,104.465,1.07745,0.60922,1.04141,0.98285,1,0.99484,0.68835,1.09137,0.60982,1.05244,0.0011486,0.0011486,0.0011486
45,106.686,1.03329,0.60344,1.0388,0.99468,0.98333,0.99437,0.74399,0.96508,0.544,1.03032,0.0011288,0.0011288,0.0011288
46,108.927,1.02585,0.61302,1.05357,0.96714,1,0.995,0.73438,1.0136,0.52394,1.00318,0.001109,0.001109,0.001109
47,111.159,1.03195,0.5971,1.03728,0.97618,1,0.99484,0.69956,1.00883,0.55612,1.02119,0.0010892,0.0010892,0.0010892
48,113.395,1.02351,0.60036,1.02464,0.95464,0.96667,0.9885,0.67158,1.0601,0.5751,1.05789,0.0010694,0.0010694,0.0010694
49,115.621,1.02226,0.57791,1.00991,0.96712,0.98054,0.98938,0.69513,1.03804,0.55655,1.04402,0.0010496,0.0010496,0.0010496
50,117.87,1.07183,0.57513,1.01923,0.95225,0.99708,0.99069,0.69957,1.02392,0.57113,1.03238,0.0010298,0.0010298,0.0010298
51,120.074,1.02843,0.60464,1.01123,0.94199,0.96667,0.9894,0.67025,1.10026,0.58877,1.04361,0.00101,0.00101,0.00101
52,122.274,1.06005,0.59185,1.01623,0.93616,0.98333,0.99118,0.68014,1.05595,0.60167,1.07115,0.0009902,0.0009902,0.0009902
53,124.494,1.03754,0.5708,1.00587,0.93651,0.98333,0.98842,0.67354,1.16983,0.62099,1.0765,0.0009704,0.0009704,0.0009704
54,126.725,0.96869,0.55638,1.00528,0.9926,0.96667,0.99268,0.73114,0.95772,0.51981,1.0006,0.0009506,0.0009506,0.0009506
55,128.964,0.99921,0.5522,0.99916,0.99663,1,0.995,0.72067,1.00684,0.51152,1.00369,0.0009308,0.0009308,0.0009308
56,131.22,1.00053,0.54005,1.00965,0.98897,1,0.995,0.72702,0.9606,0.50724,0.97976,0.000911,0.000911,0.000911
57,133.488,0.94843,0.54041,1.00316,0.99711,1,0.995,0.75153,0.91404,0.46697,0.95791,0.0008912,0.0008912,0.0008912
58,135.725,0.93324,0.51396,0.9812,0.99849,1,0.995,0.71737,0.95802,0.47019,0.97993,0.0008714,0.0008714,0.0008714
59,137.962,0.93874,0.53194,0.98274,0.99869,1,0.995,0.72239,0.99587,0.47266,0.996,0.0008516,0.0008516,0.0008516
60,140.171,0.97184,0.53628,1.01736,0.99624,1,0.995,0.74706,0.91088,0.45976,0.97525,0.0008318,0.0008318,0.0008318
61,142.416,0.95155,0.54107,0.99673,0.99888,1,0.995,0.71325,0.98108,0.5098,0.98893,0.000812,0.000812,0.000812
62,144.618,0.96098,0.52601,1.01459,0.9922,1,0.995,0.74792,0.90687,0.48847,0.97439,0.0007922,0.0007922,0.0007922
63,146.838,0.93591,0.52619,0.98616,0.98247,1,0.995,0.72502,0.9924,0.50437,1.01068,0.0007724,0.0007724,0.0007724
64,149.033,0.90787,0.4975,0.98396,0.9984,1,0.995,0.74215,0.92839,0.47927,0.98469,0.0007526,0.0007526,0.0007526
65,151.219,0.8674,0.49764,0.96812,0.99865,1,0.995,0.75254,0.91635,0.45057,0.97291,0.0007328,0.0007328,0.0007328
66,153.417,0.91316,0.50894,0.97815,0.99795,1,0.995,0.74792,0.9029,0.46531,0.97867,0.000713,0.000713,0.000713
67,155.609,0.94131,0.5027,0.99335,0.99885,1,0.995,0.73553,0.93092,0.48265,0.97657,0.0006932,0.0006932,0.0006932
68,157.863,0.95141,0.51788,0.99738,0.99072,1,0.995,0.7477,0.94379,0.4926,0.98849,0.0006734,0.0006734,0.0006734
69,160.133,0.90473,0.50521,0.98822,0.98204,1,0.99484,0.73882,0.91866,0.49251,0.98423,0.0006536,0.0006536,0.0006536
70,162.382,0.89706,0.50035,0.98285,0.98244,1,0.99484,0.72256,1.01404,0.51555,1.02525,0.0006338,0.0006338,0.0006338
71,164.597,0.87944,0.49969,0.97186,0.98196,0.98333,0.99401,0.73334,0.98546,0.4911,1.01732,0.000614,0.000614,0.000614
72,166.846,0.94091,0.50059,0.97112,0.98113,0.98333,0.9925,0.68783,1.14635,0.52968,1.04915,0.0005942,0.0005942,0.0005942
73,169.089,0.9515,0.51849,0.99133,1,0.99652,0.995,0.74491,0.94639,0.46482,0.9815,0.0005744,0.0005744,0.0005744
74,171.331,0.90891,0.50199,0.98014,0.99856,1,0.995,0.72895,1.00035,0.47009,1.00178,0.0005546,0.0005546,0.0005546
75,173.592,0.91946,0.52082,0.97674,0.99862,1,0.995,0.73269,0.93407,0.46433,0.97201,0.0005348,0.0005348,0.0005348
76,175.814,0.85521,0.48451,0.96031,0.99838,1,0.995,0.69251,1.07104,0.46967,1.02358,0.000515,0.000515,0.000515
77,178.022,0.89657,0.50017,0.97354,0.99727,1,0.995,0.74001,0.94813,0.45769,0.99141,0.0004952,0.0004952,0.0004952
78,180.238,0.90954,0.49057,0.98352,0.99619,1,0.995,0.72987,0.97603,0.47103,1.00932,0.0004754,0.0004754,0.0004754
79,182.447,0.88277,0.49454,0.97874,0.99847,1,0.995,0.7549,0.9606,0.44825,0.98896,0.0004556,0.0004556,0.0004556
80,184.671,0.87538,0.48195,0.976,0.99859,1,0.995,0.73224,0.985,0.46513,1.00197,0.0004358,0.0004358,0.0004358
