epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.276,0.66901,0.99799,0.8518,0.99918,0.99457,0.995,0.90181,0.42778,0.35203,0.79994,0.00333214,0.00333214,0.00333214
2,861.402,0.61257,0.43173,0.84881,0.99932,0.99308,0.995,0.89263,0.481,0.31929,0.81449,0.0065335,0.0065335,0.0065335
3,1311.39,0.59424,0.38781,0.8516,0.99887,0.99253,0.99499,0.89395,0.48454,0.28883,0.83518,0.00960286,0.00960286,0.00960286
4,1770.04,0.55536,0.35135,0.84925,0.99813,0.99253,0.99499,0.89688,0.49169,0.26642,0.83229,0.009406,0.009406,0.009406
5,2156.28,0.52094,0.32043,0.8453,0.99856,0.99117,0.99496,0.91252,0.4258,0.23938,0.81584,0.009208,0.009208,0.009208
6,2540.69,0.50267,0.30419,0.84316,0.99893,0.99253,0.99499,0.90137,0.46324,0.22684,0.83564,0.00901,0.00901,0.00901
7,2921,0.49052,0.29273,0.8393,0.99922,0.99253,0.995,0.90113,0.45592,0.22051,0.83178,0.008812,0.008812,0.008812
8,3297.35,0.48344,0.28443,0.83991,0.9984,0.99525,0.995,0.913,0.42977,0.20551,0.82342,0.008614,0.008614,0.008614
9,3678.7,0.47886,0.27852,0.83817,1,0.99312,0.995,0.90873,0.45446,0.20846,0.83159,0.008416,0.008416,0.008416
10,4058.82,0.47139,0.27203,0.83793,1,0.99307,0.995,0.90908,0.45092,0.20149,0.83119,0.008218,0.008218,0.008218
11,4439.1,0.46792,0.26773,0.83594,1,0.99318,0.995,0.90486,0.45812,0.20332,0.83112,0.00802,0.00802,0.00802
12,4820.9,0.46539,0.26467,0.8356,0.9981,0.99525,0.995,0.89943,0.47679,0.20484,0.83439,0.007822,0.007822,0.007822
13,5202.96,0.46127,0.26008,0.83513,0.99932,0.99303,0.995,0.90198,0.47457,0.2025,0.83255,0.007624,0.007624,0.007624
14,5581.2,0.46026,0.25902,0.83491,0.99864,0.99492,0.995,0.89738,0.48772,0.19896,0.83576,0.007426,0.007426,0.007426
15,5986.63,0.45792,0.25632,0.83299,0.99796,0.99593,0.995,0.90448,0.45951,0.19267,0.82768,0.007228,0.007228,0.007228
