epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2693,2.19577,2.83144,1.99071,0.97477,1,0.995,0.67696,1.15071,0.58527,1.08967,0.0002,0.0002,0.0002
2,69.8581,1.7753,1.59076,1.66381,0.91241,1,0.995,0.67738,1.24872,0.73348,1.11244,0.000411684,0.000411684,0.000411684
3,99.6384,1.67623,1.32889,1.64068,0.89043,1,0.995,0.67351,1.12057,1.34924,1.08282,0.000614656,0.000614656,0.000614656
4,133.895,1.50014,1.34347,1.50217,0.98452,1,0.995,0.60452,1.37534,0.87138,1.2363,0.000808916,0.000808916,0.000808916
5,166.142,1.84213,1.49605,1.76565,0.98897,1,0.995,0.64364,1.28672,0.75778,1.23523,0.000994464,0.000994464,0.000994464
6,197.007,1.52345,1.2162,1.4485,0.98933,1,0.995,0.62006,1.24173,0.71002,1.15106,0.0011713,0.0011713,0.0011713
7,226.458,1.32546,1.08697,1.34028,0.98756,1,0.995,0.6445,1.31633,0.80677,1.18678,0.00133942,0.00133942,0.00133942
8,258.704,1.35947,1.10812,1.33305,0.87284,0.875,0.935,0.61461,1.30128,0.87579,1.18583,0.00149884,0.00149884,0.00149884
9,291.995,1.25588,0.99857,1.31439,0.88642,0.97775,0.93944,0.56888,1.33254,0.84532,1.28081,0.00164954,0.00164954,0.00164954
10,325.713,1.3659,1.0549,1.32169,0.79462,1,0.945,0.5419,1.52896,0.87346,1.42454,0.0016436,0.0016436,0.0016436
11,359.927,1.36969,1.15087,1.47281,0.97403,1,0.995,0.46772,1.4947,0.81204,1.36343,0.001604,0.001604,0.001604
12,391.498,1.18554,0.87899,1.25768,1,0.94033,0.995,0.51553,1.70139,0.81402,1.48352,0.0015644,0.0015644,0.0015644
13,421.564,1.3801,1.03915,1.40152,0.8687,1,0.98167,0.52831,1.66467,0.85782,1.44878,0.0015248,0.0015248,0.0015248
14,451.745,1.16552,0.91927,1.22751,0.99445,1,0.995,0.61377,1.52069,0.80281,1.42196,0.0014852,0.0014852,0.0014852
15,482.284,1.16828,0.8881,1.27402,0.97385,1,0.995,0.69421,1.15199,0.86917,1.26148,0.0014456,0.0014456,0.0014456
16,512.736,1.13606,0.86545,1.2039,0.97911,0.875,0.98167,0.63755,1.31488,0.97628,1.33678,0.001406,0.001406,0.001406
17,544.179,1.2314,0.89548,1.27309,0.9845,0.875,0.94885,0.56535,1.49146,0.95605,1.39218,0.0013664,0.0013664,0.0013664
18,577.316,1.16393,0.83563,1.22745,0.98467,1,0.995,0.62715,1.45939,0.78554,1.50155,0.0013268,0.0013268,0.0013268
19,607.74,1.1388,0.84989,1.22698,0.98586,1,0.995,0.6868,1.06255,0.63833,1.18103,0.0012872,0.0012872,0.0012872
20,637.804,1.09607,0.85175,1.23487,0.98667,1,0.995,0.59188,1.45873,0.7455,1.33533,0.0012476,0.0012476,0.0012476
21,668.556,1.07939,0.78682,1.18747,0.98223,1,0.995,0.61727,1.42194,0.75054,1.29667,0.001208,0.001208,0.001208
