epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21918.4,0.56276,0.30737,0.9112,0.99084,0.98775,0.99447,0.89679,0.52561,0.22844,0.89728,0.00832,0.00832,0.00832
44,22351.1,0.56515,0.30886,0.91336,0.99084,0.98805,0.99447,0.89692,0.52563,0.22819,0.89747,0.00828,0.00828,0.00828
45,22781.4,0.56376,0.3085,0.91184,0.99054,0.98846,0.99449,0.8965,0.52508,0.22726,0.89724,0.00824,0.00824,0.00824
46,23212.6,0.56188,0.30671,0.91157,0.99011,0.98846,0.99448,0.89626,0.52517,0.22718,0.89708,0.0082,0.0082,0.0082
47,23644.8,0.56226,0.3069,0.91271,0.98976,0.98846,0.9945,0.89618,0.52457,0.22605,0.89685,0.00816,0.00816,0.00816
48,24075.5,0.56144,0.30578,0.91377,0.99221,0.98558,0.99449,0.89533,0.52484,0.22549,0.89694,0.00812,0.00812,0.00812
49,24506.2,0.56154,0.30739,0.90977,0.98945,0.98846,0.9945,0.89599,0.52517,0.22481,0.89693,0.00808,0.00808,0.00808
50,24937.5,0.56233,0.30636,0.91361,0.99221,0.98558,0.9945,0.89593,0.52532,0.22485,0.89672,0.00804,0.00804,0.00804
51,25368,0.56086,0.30624,0.91203,0.98894,0.98882,0.99449,0.89552,0.52534,0.22496,0.89646,0.008,0.008,0.008
52,25800.5,0.56018,0.30328,0.9127,0.99226,0.98602,0.99449,0.89605,0.52496,0.22403,0.89621,0.00796,0.00796,0.00796
53,26231.7,0.55911,0.30417,0.91051,0.98942,0.98921,0.99449,0.89589,0.52515,0.22444,0.89617,0.00792,0.00792,0.00792
54,26663.7,0.55892,0.30341,0.91004,0.98903,0.98894,0.99448,0.89536,0.52603,0.22412,0.89621,0.00788,0.00788,0.00788
55,27095,0.56321,0.30631,0.91268,0.99259,0.98558,0.99447,0.8961,0.52584,0.2239,0.89596,0.00784,0.00784,0.00784
56,27526.1,0.56101,0.30419,0.91282,0.98905,0.98894,0.99448,0.89616,0.52572,0.22335,0.89568,0.0078,0.0078,0.0078
57,27958,0.56132,0.30512,0.91055,0.98907,0.98894,0.99448,0.8958,0.5264,0.22284,0.89582,0.00776,0.00776,0.00776
58,28388.4,0.56038,0.30252,0.90998,0.98942,0.98932,0.99447,0.89597,0.52614,0.22261,0.89565,0.00772,0.00772,0.00772
59,28818.8,0.55897,0.30213,0.91085,0.98909,0.98942,0.99446,0.89541,0.52631,0.22201,0.89563,0.00768,0.00768,0.00768
60,29249.4,0.5595,0.3016,0.9115,0.98872,0.98942,0.99446,0.89511,0.52694,0.22097,0.89572,0.00764,0.00764,0.00764
61,29684.2,0.55883,0.303,0.91233,0.9886,0.98942,0.99447,0.895,0.5268,0.22086,0.8954,0.0076,0.0076,0.0076
62,30118.5,0.55696,0.30084,0.91119,0.98874,0.98942,0.99447,0.89503,0.52647,0.2202,0.89518,0.00756,0.00756,0.00756
63,30553.8,0.55866,0.30203,0.91257,0.98875,0.98942,0.99446,0.89551,0.52574,0.21923,0.89479,0.00752,0.00752,0.00752
64,30988.8,0.55696,0.30018,0.91093,0.98895,0.98952,0.99447,0.89624,0.52609,0.21929,0.89473,0.00748,0.00748,0.00748
65,31424.2,0.55922,0.30069,0.91293,0.98895,0.98946,0.99446,0.89582,0.52582,0.21915,0.89454,0.00744,0.00744,0.00744
66,31860.4,0.5577,0.30013,0.91316,0.98886,0.98942,0.99447,0.89604,0.52607,0.21896,0.89437,0.0074,0.0074,0.0074
67,32294.6,0.55731,0.29984,0.91039,0.98895,0.98948,0.99447,0.89577,0.52625,0.21918,0.89455,0.00736,0.00736,0.00736
68,32729,0.55944,0.30143,0.91262,0.98895,0.9895,0.99446,0.89638,0.52658,0.21781,0.89473,0.00732,0.00732,0.00732
69,33165.4,0.5579,0.30074,0.91331,0.98924,0.98942,0.99447,0.89621,0.52534,0.21768,0.8941,0.00728,0.00728,0.00728
70,33601,0.55634,0.2998,0.91138,0.98939,0.98942,0.9945,0.89692,0.5249,0.21761,0.8939,0.00724,0.00724,0.00724
71,34034.7,0.55428,0.29924,0.9089,0.98942,0.98936,0.99449,0.89728,0.52421,0.21722,0.89371,0.0072,0.0072,0.0072
