epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.04758,0,99.7653,0,6e-05,0.01667,3e-05,0,4.10596,4.37361,3.6634,0.000657005,0.000657005,0.000657005
2,16.9306,0,60.7115,0,0.00021,0.03333,0.00011,3e-05,nan,nan,nan,0.00131494,0.00131494,0.00131494
3,24.5745,0,37.3039,0,0.00019,0.01667,0.0001,2e-05,nan,nan,nan,0.00196407,0.00196407,0.00196407
4,32.0322,0,19.6458,0,0.00038,0.05,0.0002,4e-05,5.32778,3.81641,4.33298,0.0019604,0.0019604,0.0019604
5,39.2719,0,8.17457,0,0,0,0,0,4.85179,4.56729,3.89751,0.0019472,0.0019472,0.0019472
6,46.4808,0,2.89781,0,0,0,0,0,5.0105,5.06546,4.29348,0.001934,0.001934,0.001934
7,53.6382,0,0.92349,0,0,0,0,0,4.89787,5.46892,4.08136,0.0019208,0.0019208,0.0019208
8,60.8396,0,0.25697,0,0,0,0,0,5.15261,6.39852,4.47739,0.0019076,0.0019076,0.0019076
9,68.0646,0,0.05359,0,0,0,0,0,5.14481,7.13938,4.41894,0.0018944,0.0018944,0.0018944
10,75.2324,0,0.00657,0,0,0,0,0,5.21102,7.53312,4.3155,0.0018812,0.0018812,0.0018812
11,82.4178,0,0.00303,0,0,0,0,0,5.20455,7.79343,4.37859,0.001868,0.001868,0.001868
12,89.67,0,0.0029,0,0,0,0,0,5.22144,7.96072,4.46814,0.0018548,0.0018548,0.0018548
13,96.8281,0,0.00156,0,0,0,0,0,5.3358,7.94173,4.40119,0.0018416,0.0018416,0.0018416
14,103.961,0,0.00026,0,0,0,0,0,5.3285,8.02917,4.41996,0.0018284,0.0018284,0.0018284
15,111.194,0,2e-05,0,0,0,0,0,5.31763,8.10499,4.4109,0.0018152,0.0018152,0.0018152
16,118.384,0,0,0,0,0,0,0,5.3196,8.17966,4.4287,0.001802,0.001802,0.001802
17,125.552,0,0,0,0,0,0,0,5.34181,8.27056,4.47302,0.0017888,0.0017888,0.0017888
18,132.734,0,0,0,0,0,0,0,5.31666,8.32473,4.43202,0.0017756,0.0017756,0.0017756
19,139.924,0,0,0,0,0,0,0,5.3139,8.40646,4.53078,0.0017624,0.0017624,0.0017624
20,147.126,0,0,0,0,0,0,0,5.34969,8.42287,4.52301,0.0017492,0.0017492,0.0017492
21,154.297,0,0,0,0,0,0,0,5.43166,8.33144,4.40073,0.001736,0.001736,0.001736
22,161.612,0,0,0,0,0,0,0,5.39123,8.16519,4.25527,0.0017228,0.0017228,0.0017228
23,168.93,0,0,0,0,0,0,0,5.62112,7.90205,3.42476,0.0017096,0.0017096,0.0017096
24,176.202,0,0,0,0,0,0,0,5.59115,7.92811,3.40885,0.0016964,0.0016964,0.0016964
25,183.489,0,0,0,0,0,0,0,5.46537,8.07309,3.54889,0.0016832,0.0016832,0.0016832
26,190.614,0,0,0,0,0,0,0,5.44078,8.21463,4.21429,0.00167,0.00167,0.00167
27,197.763,0,0,0,0,0,0,0,5.4469,8.13123,3.52803,0.0016568,0.0016568,0.0016568
