epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,55.7481,0.96298,0.89985,0.99048,0.99217,1,0.995,0.79611,0.86481,0.76675,0.91535,0.0011684,0.0011684,0.0011684
44,56.5846,1.09058,1.19822,0.94678,0.99191,1,0.995,0.73277,0.9147,0.8469,0.99554,0.0011486,0.0011486,0.0011486
45,57.392,1.16385,1.13117,0.99793,0.99945,1,0.995,0.76816,0.84725,0.84294,0.95769,0.0011288,0.0011288,0.0011288
46,58.2676,1.35248,1.03506,1.19611,0.99803,1,0.995,0.79768,0.80515,0.80118,0.92195,0.001109,0.001109,0.001109
47,59.6954,1.08695,1.06955,1.0476,0.97988,1,0.995,0.75781,0.83691,0.7937,0.91794,0.0010892,0.0010892,0.0010892
48,61.1784,0.92433,0.99717,1.00169,0.98663,0.86667,0.97625,0.75431,0.87853,0.81158,0.8964,0.0010694,0.0010694,0.0010694
49,62.5631,1.0676,1.02646,0.99361,0.8821,0.99767,0.98327,0.78125,0.86798,0.76964,0.8883,0.0010496,0.0010496,0.0010496
50,63.9635,1.08383,1.02809,1.035,0.92971,1,0.98688,0.73825,0.93142,0.74682,0.89625,0.0010298,0.0010298,0.0010298
51,65.3436,1.07722,0.87852,0.98629,1,0.91168,0.98794,0.7182,0.99107,0.75723,0.92057,0.00101,0.00101,0.00101
52,66.81,0.92753,0.93856,1.01754,0.94675,0.93333,0.99125,0.69258,1.04458,0.70424,0.944,0.0009902,0.0009902,0.0009902
53,68.2292,1.03847,0.8063,0.98492,1,0.99805,0.995,0.67724,1.03051,0.73055,0.93765,0.0009704,0.0009704,0.0009704
54,69.6334,0.97512,0.8254,0.97201,0.99297,0.93333,0.99125,0.72177,0.94733,0.71711,0.91919,0.0009506,0.0009506,0.0009506
55,71.051,0.85755,0.79272,0.95231,0.97943,1,0.995,0.72492,0.8842,0.72809,0.8981,0.0009308,0.0009308,0.0009308
56,72.5174,0.92627,0.78865,0.9966,0.99087,1,0.995,0.71246,0.95695,0.69133,0.92963,0.000911,0.000911,0.000911
57,73.852,0.9329,0.84574,0.97089,0.99172,1,0.995,0.70239,0.9859,0.69652,0.92896,0.0008912,0.0008912,0.0008912
58,75.1791,1.07212,0.89257,0.98781,0.99296,1,0.995,0.72426,1.02113,0.70366,0.92683,0.0008714,0.0008714,0.0008714
59,76.5914,1.11071,0.82322,1.00123,0.99418,1,0.995,0.67762,1.02608,0.69975,0.92466,0.0008516,0.0008516,0.0008516
60,78.0516,0.99279,0.82585,0.98408,0.9948,1,0.995,0.73277,0.88788,0.61554,0.91746,0.0008318,0.0008318,0.0008318
61,79.4771,0.9464,0.92641,0.99154,0.99481,1,0.995,0.75354,0.8756,0.65131,0.91799,0.000812,0.000812,0.000812
62,80.8577,0.99499,0.83375,1.00094,0.99513,1,0.995,0.75438,0.87004,0.66085,0.91462,0.0007922,0.0007922,0.0007922
63,82.2578,0.92143,0.76134,0.94028,0.9933,1,0.995,0.74118,0.93876,0.68692,0.92198,0.0007724,0.0007724,0.0007724
64,83.74,0.94795,0.78851,0.94286,1,0.99062,0.995,0.71702,0.95797,0.67364,0.91344,0.0007526,0.0007526,0.0007526
65,85.1536,0.8553,0.79699,0.98914,0.98638,0.93333,0.98794,0.70935,0.9046,0.66788,0.91337,0.0007328,0.0007328,0.0007328
66,86.611,0.84335,0.87364,0.99666,0.98513,0.93333,0.98794,0.7313,0.91091,0.65934,0.91659,0.000713,0.000713,0.000713
67,88.038,0.94166,0.75587,0.97746,0.98595,0.93333,0.98794,0.74457,0.92677,0.65651,0.92183,0.0006932,0.0006932,0.0006932
68,89.5294,0.96246,0.76494,1.01374,0.99019,0.93333,0.99125,0.75837,0.92848,0.64525,0.92654,0.0006734,0.0006734,0.0006734
69,90.9513,0.93916,0.69046,0.98435,1,0.99278,0.995,0.75602,0.91353,0.6369,0.91488,0.0006536,0.0006536,0.0006536
70,92.3521,0.69766,0.98107,0.74427,1,0.99547,0.995,0.74127,0.88118,0.62573,0.90341,0.0006338,0.0006338,0.0006338
71,93.7645,1.06008,0.80367,1.04791,1,0.99681,0.995,0.75313,0.85949,0.61281,0.89751,0.000614,0.000614,0.000614
72,95.234,1.48711,1.6506,1.39546,1,0.99483,0.995,0.77034,0.86437,0.62318,0.89079,0.0005942,0.0005942,0.0005942
